Case,Execution Time(ms)
1,0.043192990124225616
2,0.08440298028290272
3,0.16726498026400805
4,0.3332685399800539
5,0.6671281787566841
6,1.3295006798580289
7,0.05875481991097331
8,0.11571273906156421
9,0.22623092168942094
10,0.4131824616342783
11,0.6961494404822588
12,1.2184052006341517
13,0.08063627872616053
14,0.1601841696538031
15,0.3194643906317651
16,0.6382998498156667
17,1.2760246987454593
18,2.5609109201468527
19,0.1488637295551598
20,0.2974224486388266
21,0.6094974488951266
22,1.183881419710815
23,2.3854047316126525
24,4.772662129253149
25,0.2855751384049654
26,0.5704084900207818
27,1.1398540809750557
28,2.2940107504837215
29,4.565637370105833
30,9.126886038575321
31,0.6131001096218824
32,1.2229481409303844
33,2.42920609889552
34,4.887240750249475
35,9.784392169676721
36,19.60247065173462
37,0.056785400956869125
