Case,execution_time(ms)
1,1.04453544
2,0.78883571
3,0.27254246
4,1.14816016
5,0.70462156
6,1.09554419
7,0.40548063
8,1.04361351
9,0.57709103
10,0.8368461700000001
11,1.57861521
12,0.41705687999999996
13,0.88015815
14,0.64261011
15,0.64619465
16,0.89723275
17,0.33054851
18,1.20468159
19,0.48670163                                                                                                             Oct-21
20,0.89129961
